Total documents: 104
Total buckets: 208
Candidate pairs: 695
Matches above threshold (0.5): 594
doc_000022.txt <-> doc_000086.txt : 1.0000
doc_000014.txt <-> doc_000082.txt : 1.0000
doc_000004.txt <-> doc_000047.txt : 0.7000
api_20260416_020230_731102.txt <-> doc_000052.txt : 0.5556
doc_000016.txt <-> doc_000030.txt : 1.0000
doc_000023.txt <-> doc_000078.txt : 1.0000
doc_000027.txt <-> doc_000030.txt : 1.0000
doc_000057.txt <-> doc_000080.txt : 0.7143
doc_000035.txt <-> doc_000043.txt : 1.0000
doc_000016.txt <-> doc_000039.txt : 0.5000
doc_000027.txt <-> doc_000039.txt : 0.5000
doc_000019.txt <-> doc_000035.txt : 1.0000
doc_000056.txt <-> doc_000084.txt : 0.7000
doc_000079.txt <-> doc_000095.txt : 0.5556
doc_000007.txt <-> doc_000088.txt : 0.7143
api_20260416_033932_359570.txt <-> doc_000034.txt : 0.7000
doc_000049.txt <-> doc_000072.txt : 1.0000
doc_000031.txt <-> doc_000045.txt : 0.5882
api_20260416_033932_359570.txt <-> doc_000052.txt : 0.5556
doc_000034.txt <-> doc_000056.txt : 1.0000
doc_000001.txt <-> doc_000031.txt : 0.5556
doc_000064.txt <-> doc_000078.txt : 0.5556
doc_000015.txt <-> doc_000042.txt : 1.0000
doc_000023.txt <-> doc_000055.txt : 1.0000
doc_000086.txt <-> doc_000093.txt : 0.7000
doc_000023.txt <-> doc_000064.txt : 0.5556
doc_000014.txt <-> doc_000095.txt : 1.0000
api_20260416_020230_731102.txt <-> doc_000056.txt : 0.7000
doc_000056.txt <-> doc_000079.txt : 0.5556
doc_000037.txt <-> doc_000075.txt : 0.5000
doc_000090.txt <-> doc_000099.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000020.txt : 1.0000
doc_000020.txt <-> doc_000031.txt : 0.5556
doc_000049.txt <-> doc_000067.txt : 1.0000
doc_000029.txt <-> doc_000098.txt : 0.7143
doc_000030.txt <-> doc_000063.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000092.txt : 0.5556
